tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
186,12/1/19 8:02 AM,12/1/19 8:05 AM,3211,Newark Ave,40.72152515,-74.04630454,3187,Warren St,40.7211236,-74.03805095,26211,Subscriber,1988,2
410,12/1/19 8:15 AM,12/1/19 8:22 AM,3195,Sip Ave,40.7308971,-74.06391263,3193,Lincoln Park,40.7246051,-74.07840595,26227,Subscriber,1983,1
158,12/1/19 8:24 AM,12/1/19 8:27 AM,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,29459,Subscriber,1976,1
310,12/1/19 8:28 AM,12/1/19 8:34 AM,3186,Grove St PATH,40.71958612,-74.04311746,3639,Harborside,40.7192517,-74.034234,26287,Subscriber,1985,2
758,12/1/19 8:33 AM,12/1/19 8:46 AM,3193,Lincoln Park,40.7246051,-74.07840595,3483,Montgomery St,40.71942,-74.05099,29236,Subscriber,1987,1
152,12/1/19 8:34 AM,12/1/19 8:36 AM,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,29552,Subscriber,1967,2
883,12/1/19 8:36 AM,12/1/19 8:51 AM,3279,Dixon Mills,40.72163014,-74.04996783,3279,Dixon Mills,40.72163014,-74.04996783,26182,Subscriber,1987,1
570,12/1/19 8:42 AM,12/1/19 8:51 AM,3270,Jersey & 6th St,40.72528911,-74.04557168,3184,Paulus Hook,40.7141454,-74.0335519,29291,Subscriber,1978,1
204,12/1/19 8:47 AM,12/1/19 8:50 AM,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,29609,Subscriber,1988,1
178,12/1/19 8:50 AM,12/1/19 8:53 AM,3203,Hamilton Park,40.72759597,-74.04424731,3273,Manila & 1st,40.72165072,-74.04288411,29445,Subscriber,1991,2
130,12/1/19 8:52 AM,12/1/19 8:54 AM,3639,Harborside,40.7192517,-74.034234,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,26261,Subscriber,1962,2
145,12/1/19 8:57 AM,12/1/19 9:00 AM,3276,Marin Light Rail,40.71458404,-74.04281706,3186,Grove St PATH,40.71958612,-74.04311746,26290,Subscriber,1967,1
346,12/1/19 8:59 AM,12/1/19 9:05 AM,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,29638,Subscriber,1964,2
425,12/1/19 9:01 AM,12/1/19 9:08 AM,3269,Brunswick & 6th,40.72601173,-74.05038893,3273,Manila & 1st,40.72165072,-74.04288411,29534,Subscriber,1968,1
504,12/1/19 9:02 AM,12/1/19 9:10 AM,3187,Warren St,40.7211236,-74.03805095,3205,JC Medical Center,40.71653978,-74.04963791,29226,Customer,1995,1
447,12/1/19 9:03 AM,12/1/19 9:11 AM,3185,City Hall,40.7177325,-74.043845,3202,Newport PATH,40.7272235,-74.0337589,29537,Subscriber,1962,1
273,12/1/19 9:09 AM,12/1/19 9:14 AM,3639,Harborside,40.7192517,-74.034234,3481,York St,40.71649,-74.04105,26287,Subscriber,1985,2
407,12/1/19 9:14 AM,12/1/19 9:21 AM,3268,Lafayette Park,40.71346383,-74.06285852,3185,City Hall,40.7177325,-74.043845,29595,Customer,1991,1
988,12/1/19 9:14 AM,12/1/19 9:31 AM,3639,Harborside,40.7192517,-74.034234,3213,Van Vorst Park,40.71848892,-74.04772663,29660,Subscriber,1973,2
136,12/1/19 9:15 AM,12/1/19 9:17 AM,3203,Hamilton Park,40.72759597,-74.04424731,3272,Jersey & 3rd,40.72333159,-74.04595256,26298,Subscriber,1985,1
218,12/1/19 9:18 AM,12/1/19 9:21 AM,3278,Monmouth and 6th,40.72568548,-74.04879034,3186,Grove St PATH,40.71958612,-74.04311746,29492,Subscriber,1977,1
