tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
306,3/1/19 6:47 AM,3/1/19 6:52 AM,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,26272,Subscriber,1989,1
123,3/1/19 7:30 AM,3/1/19 7:32 AM,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26192,Subscriber,1966,1
328,3/1/19 8:18 AM,3/1/19 8:23 AM,3183,Exchange Place,40.7162469,-74.0334588,3213,Van Vorst Park,40.71848892,-74.04772663,26226,Subscriber,1971,2
95,3/1/19 11:04 AM,3/1/19 11:06 AM,3183,Exchange Place,40.7162469,-74.0334588,3184,Paulus Hook,40.7141454,-74.0335519,26204,Subscriber,1985,1
169,3/1/19 11:51 AM,3/1/19 11:54 AM,3183,Exchange Place,40.7162469,-74.0334588,3639,Harborside,40.7192517,-74.034234,29449,Subscriber,1971,1
257,3/1/19 1:08 PM,3/1/19 1:12 PM,3183,Exchange Place,40.7162469,-74.0334588,3276,Marin Light Rail,40.71458404,-74.04281706,29577,Subscriber,1984,1
440,3/1/19 1:13 PM,3/1/19 1:21 PM,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,26272,Subscriber,1987,2
193,3/1/19 2:40 PM,3/1/19 2:43 PM,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29500,Subscriber,1990,1
278,3/1/19 3:37 PM,3/1/19 3:42 PM,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29504,Subscriber,1984,1
277,3/1/19 3:37 PM,3/1/19 3:42 PM,3183,Exchange Place,40.7162469,-74.0334588,3638,Washington St,40.7242941,-74.0354826,29482,Subscriber,1984,2
1170,3/1/19 4:23 PM,3/1/19 4:43 PM,3183,Exchange Place,40.7162469,-74.0334588,3195,Sip Ave,40.7308971,-74.06391263,26196,Subscriber,1980,1
345,3/1/19 4:35 PM,3/1/19 4:41 PM,3183,Exchange Place,40.7162469,-74.0334588,3267,Morris Canal,40.71241882,-74.03852552,29303,Subscriber,1976,2
